"date" "demand"
"536" 2016-06-19 73315
"537" 2016-06-20 51161
"538" 2016-06-21 52901
"539" 2016-06-22 56279
"540" 2016-06-23 61091
"541" 2016-06-24 68580
"542" 2016-06-25 81539
"543" 2016-06-26 70877
"544" 2016-06-27 53732
"545" 2016-06-28 50444
"546" 2016-06-29 51045
"547" 2016-06-30 57060
"548" 2016-07-01 65050
"549" 2016-07-02 63570
"550" 2016-07-03 56707
"551" 2016-07-04 51951
"552" 2016-07-05 48966
"553" 2016-07-06 39620
"554" 2016-07-07 52002
"555" 2016-07-08 61784
"556" 2016-07-09 72682
"557" 2016-07-10 62039
"558" 2016-07-11 45841
"559" 2016-07-12 46779
"560" 2016-07-13 52337
"561" 2016-07-14 56542
"562" 2016-07-15 65729
"563" 2016-07-16 77892
"564" 2016-07-17 66405
"565" 2016-07-18 50555
"566" 2016-07-19 47606
"567" 2016-07-20 51046
"568" 2016-07-21 56310
"569" 2016-07-22 66188
"570" 2016-07-23 75637
"571" 2016-07-24 64618
"572" 2016-07-25 51245
"573" 2016-07-26 49594
"574" 2016-07-27 52684
"575" 2016-07-28 58555
"576" 2016-07-29 64660
"577" 2016-07-30 79203
"578" 2016-07-31 62936
"579" 2016-08-01 48736
"580" 2016-08-02 50052
"581" 2016-08-03 52490
"582" 2016-08-04 56897
"583" 2016-08-05 63129
"584" 2016-08-06 73739
"585" 2016-08-07 62715
"586" 2016-08-08 44959
"587" 2016-08-09 47644
"588" 2016-08-10 52074
"589" 2016-08-11 57447
"590" 2016-08-12 66264
"591" 2016-08-13 76544
"592" 2016-08-14 62210
"593" 2016-08-15 48013
"594" 2016-08-16 48416
"595" 2016-08-17 50274
"596" 2016-08-18 53248
"597" 2016-08-19 62451
"598" 2016-08-20 72335
"599" 2016-08-21 62346
"600" 2016-08-22 43386
"601" 2016-08-23 43511
"602" 2016-08-24 46258
"603" 2016-08-25 51443
"604" 2016-08-26 56543
"605" 2016-08-27 65701
"606" 2016-08-28 55704
"607" 2016-08-29 41310
"608" 2016-08-30 40100
"609" 2016-08-31 43850
"610" 2016-09-01 50614
"611" 2016-09-02 54773
"612" 2016-09-03 57149
"613" 2016-09-04 50740
"614" 2016-09-05 39123
"615" 2016-09-06 42608
"616" 2016-09-07 46017
"617" 2016-09-08 51121
"618" 2016-09-09 59498
"619" 2016-09-10 69374
"620" 2016-09-11 56399
"621" 2016-09-12 34239
"622" 2016-09-13 42140
"623" 2016-09-14 48513
"624" 2016-09-15 51426
"625" 2016-09-16 57638
"626" 2016-09-17 68481
"627" 2016-09-18 56728
"628" 2016-09-19 44902
"629" 2016-09-20 44362
"630" 2016-09-21 46005
"631" 2016-09-22 51282
"632" 2016-09-23 59237
"633" 2016-09-24 69569
"634" 2016-09-25 56011
"635" 2016-09-26 42851
"636" 2016-09-27 43754
"637" 2016-09-28 49547
"638" 2016-09-29 52259
"639" 2016-09-30 65483
"640" 2016-10-01 69029
"641" 2016-10-02 56916
"642" 2016-10-03 41581
"643" 2016-10-04 41412
"644" 2016-10-05 48136
"645" 2016-10-06 51920
"646" 2016-10-07 59973
"647" 2016-10-08 73952
"648" 2016-10-09 59155
"649" 2016-10-10 38609
"650" 2016-10-11 44472
"651" 2016-10-12 42836
"652" 2016-10-13 51870
"653" 2016-10-14 59950
"654" 2016-10-15 71173
"655" 2016-10-16 58130
"656" 2016-10-17 42602
"657" 2016-10-18 45147
"658" 2016-10-19 48110
"659" 2016-10-20 53217
"660" 2016-10-21 62610
"661" 2016-10-22 72167
